Sample_name,Bacteria,Fungi,Protists
X09_11_N_N_0,0.705832629,0.535353535,0.635220126
X09_13_N_N_0,0.706849315,0.555555556,0.682119205
X09_24_N_N_0,0.725507901,0.557788945,0.592814371
X09_8_N_N_0,0.716242661,0.568181818,0.625
X10_11_N_N_0,0.712290503,0.545454545,0.636363636
X10_13_N_N_0,0.729349736,0.473214286,0.641025641
X10_24_N_N_0,0.723237598,0.585365854,0.662162162
X10_8_N_N_0,0.716353111,0.513157895,0.770491803
X11_11_N_N_0,0.728558798,0.534883721,0.579545455
X11_13_N_N_0,0.726584674,0.652173913,0.716535433
X11_24_N_N_0,0.753914989,0.628415301,0.635036496
X11_8_N_N_0,0.742016281,0.648484848,0.584
X12_11_N_N_0,0.735404896,0.624242424,0.604651163
X12_13_N_N_0,0.759512938,0.606837607,0.722222222
X12_24_N_N_0,0.781303116,0.642458101,0.592105263
X12_8_N_N_0,0.732779097,0.592814371,0.716666667
X13_11_N_N_0,0.729930394,0.630769231,0.638888889
X13_13_N_N_0,0.765694513,0.572254335,0.716666667
X13_24_N_N_0,0.723920863,0.629213483,0.685714286
X13_8_N_N_0,0.722248465,0.614285714,0.657534247
X14_11_N_N_0,0.754747694,0.669172932,0.643835616
X14_13_N_N_0,0.734718826,0.702479339,0.787234043
X14_24_N_N_0,0.758047767,0.538461538,0.612903226
X14_8_N_N_0,0.744087326,0.82300885,0.78021978
