,richness,shannon,invsimpson,PD
X09_11_N_N_0,7290,7.780063721,347.4812951,641.84361
X09_13_N_N_0,7826,8.028435608,690.2107692,644.44515
X09_19_N_N_1,7552,7.967535944,595.6390298,628.95996
X09_23_N_N_1,7062,7.740739127,450.2097978,590.01691
X09_24_N_N_0,6980,7.742830481,346.2605684,581.72979
X09_3_N_N_1,7208,7.657720759,303.4897826,606.88646
X09_6_N_N_1,7499,7.925393481,617.0814005,623.94909
X09_8_N_N_0,7615,7.930406845,576.143436,624.0851
X10_11_N_N_0,6815,7.539471253,277.8889115,602.74408
X10_13_N_N_0,6828,7.663555505,422.909646,595.40922
X10_19_N_N_1,7454,7.939276579,513.4325191,620.1301
X10_23_N_N_1,6276,7.416817144,270.8144397,549.91504
X10_24_N_N_0,6961,7.91444386,908.205366,628.90374
X10_3_N_N_1,6600,7.421966041,213.1188466,592.8122
X10_6_N_N_1,6767,7.671858607,417.7219118,590.70182
X10_8_N_N_0,6815,7.546076572,278.3379665,578.1081
X11_11_N_N_0,6035,7.527693378,490.3214534,530.70008
X11_13_N_N_0,5444,7.470877393,532.7565686,485.53657
X11_19_N_N_1,6149,7.561373423,457.824236,528.4601
X11_23_N_N_1,5743,7.399672267,364.6161822,514.3791
X11_24_N_N_0,5259,7.190751716,216.7542711,477.66754
X11_3_N_N_1,6531,7.63448676,395.5592417,551.70537
X11_6_N_N_1,5793,7.382855267,288.9573354,517.47293
X11_8_N_N_0,5954,7.426568192,323.4640769,536.65277
X12_11_N_N_0,6308,7.555115233,336.8522021,569.81086
X12_13_N_N_0,6066,7.685479306,618.1427993,542.29856
X12_19_N_N_1,5038,6.891878741,139.3255545,465.36303
X12_23_N_N_1,5184,7.176965375,187.4587468,465.20261
X12_24_N_N_0,5785,7.653116871,623.077259,532.29642
X12_3_N_N_1,6086,7.422217158,303.5034887,540.75865
X12_6_N_N_1,5717,7.121719973,77.2571315,529.17561
X12_8_N_N_0,5832,7.374443487,259.309193,502.82639
X13_11_N_N_0,6947,7.732896522,429.7316272,601.01478
X13_13_N_N_0,6817,7.678600418,382.1484777,592.81309
X13_19_N_N_1,6676,7.515334138,190.5576382,574.51031
X13_23_N_N_1,7054,7.836543662,641.3368081,590.11314
X13_24_N_N_0,6560,7.515196588,220.8550311,557.22965
X13_3_N_N_1,6892,7.828226984,627.4890398,573.50553
X13_6_N_N_1,5500,7.024785566,96.47482839,498.36581
X13_8_N_N_0,6127,7.274800303,148.9573409,552.85883
X14_11_N_N_0,5262,7.268644488,204.2318962,505.7094
X14_13_N_N_0,6033,7.392264832,322.177515,535.34781
X14_19_N_N_1,5628,7.456597771,454.0259856,508.64784
X14_23_N_N_1,6263,7.56323859,296.3582097,539.13702
X14_24_N_N_0,4652,7.041763273,207.1499624,450.50759
X14_3_N_N_1,6111,7.557143024,384.8140812,542.81303
X14_6_N_N_1,6081,7.450191044,334.9013228,542.28693
X14_8_N_N_0,5910,7.548163186,405.2612609,545.85206
