NetworkIndex,Total nodes,Total links,Average degree (avgK),Average clustering coefficient (avgCC),Average path distance (GD),Density (D),Transitivity (Trans),Krackhardt Connectedness (Con),Module.number.Greedy.optimization,Modularity.Greedy.optimization
X09_11S_N_C_0,85,99,2.329411765,0.11873706,3.063259361,0.027731092,0.092150171,0.623809524,14,0.700233427
X09_13S_N_C_0,101,117,2.316831683,0.098518519,3.187746281,0.023168317,0.117021277,0.557425743,14,0.723726438
X09_19S_N_C_1,98,116,2.367346939,0.154802956,3.898299509,0.024405639,0.152027027,0.685041027,14,0.712662913
X09_23S_N_C_1,93,106,2.279569892,0.105747126,4.250005231,0.024777934,0.066079295,0.875175316,12,0.723956007
X09_24S_N_C_0,83,88,2.120481928,0.180787037,4.324083156,0.025859536,0.166666667,0.529826624,12,0.793260135
X09_3S_N_C_1,105,147,2.8,0.13372962,3.072839756,0.026923077,0.109615385,0.784615385,13,0.638890304
X09_6S_N_C_1,113,151,2.672566372,0.132024882,3.288245907,0.0238622,0.10738255,0.89664981,13,0.691627389
X09_8S_N_C_0,93,101,2.172043011,0.127710233,3.250869857,0.023609163,0.104895105,0.521505376,18,0.718957884
X10_11N_N_N_0,101,111,2.198019802,0.148353909,3.573337732,0.021980198,0.104247104,0.487722772,18,0.760296759
X10_13N_N_N_0,67,69,2.059701493,0.177200577,2.749069801,0.031207598,0.113207547,0.384441429,15,0.734984049
X10_19N_N_N_1,97,127,2.618556701,0.161172161,3.624505824,0.027276632,0.116071429,0.786512027,14,0.712043096
X10_23N_N_N_1,83,107,2.578313253,0.153103741,3.237647064,0.031442845,0.128113879,0.694093447,11,0.718437579
X10_24N_N_N_0,69,60,1.739130435,0.209578544,2.170897976,0.025575448,0.183673469,0.129582268,17,0.840062815
X10_3N_N_N_1,68,73,2.147058824,0.177777778,3.246207939,0.032045654,0.136363636,0.460491659,15,0.721824386
X10_6N_N_N_1,123,198,3.219512195,0.076894703,2.940935506,0.026389444,0.047677262,0.859256297,11,0.591483877
X10_8N_N_N_0,108,136,2.518518519,0.105643739,3.292285983,0.023537556,0.07875895,0.696780893,14,0.693568508
X11_11N_N_N_0,65,60,1.846153846,0.215201465,1.935445303,0.028846154,0.19266055,0.153365385,14,0.809986623
X11_13N_N_N_0,69,66,1.913043478,0.139153439,4.07185629,0.028132992,0.166666667,0.436487639,14,0.7994305
X11_19N_N_N_1,114,153,2.684210526,0.094594595,3.324578237,0.023754075,0.056016598,0.800652073,16,0.656303883
X11_23N_N_N_1,102,119,2.333333333,0.136011905,3.92671424,0.02310231,0.102040816,0.813628422,15,0.708022107
X11_24N_N_N_0,63,62,1.968253968,0.238536155,3.236507491,0.031746032,0.138461538,0.492063492,14,0.773792072
X11_3N_N_N_1,112,156,2.785714286,0.060735736,3.058814053,0.025096525,0.029411765,0.846042471,13,0.642725915
X11_6N_N_N_1,73,81,2.219178082,0.120068027,3.703255579,0.030821918,0.105882353,0.613774734,11,0.740060029
X11_8N_N_N_0,103,130,2.524271845,0.106836536,3.068120982,0.024747763,0.089108911,0.651437274,15,0.662571886
X12_11N_N_N_0,57,60,2.105263158,0.113824885,3.683588389,0.037593985,0.151260504,0.652882206,12,0.715372099
X12_13N_N_N_0,86,94,2.186046512,0.179196217,3.499456382,0.025718194,0.142857143,0.556497948,16,0.765897349
X12_19N_N_N_1,93,110,2.365591398,0.128914141,3.524644401,0.02571295,0.140186916,0.704067321,17,0.713421897
X12_23N_N_N_1,86,98,2.279069767,0.089102564,3.557811971,0.026812585,0.1,0.610396717,14,0.736411455
X12_24N_N_N_0,81,95,2.345679012,0.195065562,3.769913862,0.029320988,0.142241379,0.812345679,12,0.729188496
X12_3N_N_N_1,103,153,2.970873786,0.080791272,2.951548406,0.029126214,0.046551724,0.886921759,12,0.604737056
X12_6N_N_N_1,60,57,1.9,0.066071429,3.145624866,0.03220339,0.064516129,0.383615819,13,0.740670711
X12_8N_N_N_0,62,63,2.032258065,0.135632184,2.326013982,0.033315706,0.152173913,0.301956637,15,0.719494065
X13_11N_N_N_0,72,75,2.083333333,0.117973856,2.943840388,0.029342723,0.094736842,0.510954617,13,0.719801829
X13_13N_N_N_0,79,74,1.873417722,0.075,3.050638425,0.024018176,0.051724138,0.282051282,14,0.80080915
X13_19N_N_N_1,99,136,2.747474747,0.121108742,3.20393382,0.028035457,0.101204819,0.882498454,11,0.663423277
X13_23N_N_N_1,61,60,1.967213115,0.246875,3.969193025,0.032786885,0.196261682,0.456830601,13,0.778039718
X13_24N_N_N_0,79,74,1.873417722,0.187734488,2.267268235,0.024018176,0.157894737,0.180136319,19,0.778248853
X13_3N_N_N_1,113,150,2.654867257,0.095753308,3.25615904,0.023704172,0.053784861,0.847345133,14,0.653585185
X13_6N_N_N_1,101,147,2.910891089,0.131752692,2.827731103,0.029108911,0.094095941,0.726732673,14,0.626277346
X13_8N_N_N_0,82,86,2.097560976,0.15282392,3.402021355,0.025895815,0.117318436,0.539596507,15,0.754645982
X14_11N_N_N_0,53,44,1.660377358,0.217391304,1.742998293,0.031930334,0.18,0.104499274,14,0.850621968
X14_13N_N_N_0,68,58,1.705882353,0.132142857,2.564129007,0.025460931,0.115384615,0.171641791,15,0.834317513
X14_19N_N_N_1,88,109,2.477272727,0.191975309,3.645297903,0.028474399,0.167247387,0.785788924,14,0.70795103
X14_23N_N_N_1,85,112,2.635294118,0.125370804,3.201533051,0.031372549,0.111864407,0.842577031,10,0.673817518
X14_24N_N_N_0,28,18,1.285714286,0,1.039454049,0.047619048,0,0.079365079,10,0.871508191
X14_3N_N_N_1,88,97,2.204545455,0.124927114,4.012276609,0.025339603,0.081081081,0.826541275,13,0.732789625
X14_6N_N_N_1,68,71,2.088235294,0.075238095,3.417757672,0.031167691,0.064285714,0.526338894,12,0.736320648
X14_8N_N_N_0,45,37,1.644444444,0.152380952,1.597627832,0.037373737,0.136363636,0.157575758,13,0.766797851
