Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X09_11_N_N_0,1059,1036,736,119,384,285,175,22,536,833,308,586,327,514,300,71,14,24,39,126,28,11,222,159,13,51,26,478,30,34
X09_13_N_N_0,1051,1264,742,107,432,224,221,18,650,899,349,679,303,530,432,76,17,61,59,164,68,19,249,166,18,36,38,492,37,41
X09_19_N_N_1,1044,1293,601,102,465,238,223,20,581,843,331,662,311,464,309,78,13,71,46,140,75,11,279,120,20,27,41,467,32,47
X09_23_N_N_1,977,1221,627,81,330,245,187,15,508,941,337,540,307,462,336,77,10,69,38,137,76,19,236,123,16,29,35,433,36,40
X09_24_N_N_0,912,1192,677,84,370,275,184,15,508,909,305,571,275,424,417,76,9,53,59,152,59,16,259,168,17,42,35,515,31,41
X09_3_N_N_1,1059,1153,543,136,426,317,190,18,502,839,309,597,328,465,289,52,15,20,38,127,25,18,237,92,11,28,31,389,41,40
X09_6_N_N_1,1016,1167,634,115,399,272,209,17,554,960,339,625,344,482,334,64,20,55,48,147,58,17,243,159,11,37,34,477,34,50
X09_8_N_N_0,1048,1342,705,110,389,189,203,14,554,964,304,636,297,529,331,77,14,36,43,147,45,19,205,159,17,36,32,451,36,36
X10_11_N_N_0,933,1165,467,126,371,223,212,18,459,861,303,609,347,381,317,58,15,18,51,124,25,13,231,118,20,47,27,449,26,31
X10_13_N_N_0,949,1102,575,121,301,257,168,18,481,937,292,559,326,408,214,34,4,7,37,92,10,11,208,120,13,32,37,392,26,42
X10_19_N_N_1,944,1292,657,120,397,240,233,22,492,1014,330,644,316,432,298,49,9,19,43,96,22,12,240,145,17,44,41,470,28,52
X10_23_N_N_1,855,961,509,98,283,247,146,16,428,868,278,573,284,438,221,51,4,19,27,100,21,10,192,115,17,38,43,383,27,45
X10_24_N_N_0,811,1254,617,95,375,254,200,19,440,1044,298,565,313,384,286,38,7,7,38,101,13,15,169,119,28,45,26,385,31,33
X10_3_N_N_1,903,1028,636,98,339,288,178,17,417,921,312,540,298,350,194,46,6,5,33,74,9,11,195,162,17,36,24,425,22,30
X10_6_N_N_1,883,1203,452,134,358,299,201,18,459,824,288,577,294,429,294,41,10,11,41,122,15,10,267,107,14,25,37,441,26,44
X10_8_N_N_0,915,1261,574,106,335,250,223,20,449,832,317,549,288,397,256,48,8,17,35,108,23,13,234,140,13,45,30,455,34,35
X11_11_N_N_0,762,1289,415,72,300,197,185,15,408,955,300,471,192,226,169,25,4,6,27,65,8,7,175,124,34,28,14,385,14,19
X11_13_N_N_0,593,1189,456,51,228,242,184,13,281,997,260,386,185,214,249,36,5,12,33,87,15,6,139,139,21,24,12,350,13,13
X11_19_N_N_1,796,1312,327,53,336,293,192,15,465,910,252,503,210,249,290,52,11,38,45,121,43,11,195,141,28,22,14,411,30,18
X11_23_N_N_1,686,1193,361,78,231,295,189,15,341,923,261,487,215,254,268,52,9,29,35,119,32,18,139,107,25,24,10,320,30,13
X11_24_N_N_0,643,1131,343,21,269,213,188,11,357,881,259,405,137,237,250,44,5,11,50,104,12,6,197,174,18,30,20,453,13,28
X11_3_N_N_1,894,1398,372,62,359,275,254,15,485,912,291,509,180,270,272,55,9,11,44,109,13,7,206,147,22,22,22,414,21,29
X11_6_N_N_1,768,1216,328,72,305,228,206,17,366,931,279,436,167,219,183,23,2,6,29,62,6,5,167,136,43,22,12,403,16,25
X11_8_N_N_0,821,1292,328,56,305,259,193,16,403,925,282,453,165,210,254,37,7,11,37,97,15,12,210,137,31,36,17,453,27,23
X12_11_N_N_0,767,1173,505,88,300,245,184,14,387,1012,307,522,211,316,179,49,6,3,29,70,3,9,181,125,19,34,23,386,24,25
X12_13_N_N_0,669,1298,523,63,296,222,203,14,348,1024,278,457,213,245,275,46,3,8,36,96,12,11,175,159,22,30,24,409,18,28
X12_19_N_N_1,700,973,237,58,292,286,149,13,389,667,198,428,168,271,217,56,10,27,24,93,30,10,159,95,17,19,26,319,20,32
X12_23_N_N_1,551,1102,420,28,203,270,160,14,275,1017,223,340,189,232,245,39,8,0,28,94,0,5,185,138,9,22,24,379,17,25
X12_24_N_N_0,630,1135,550,43,273,167,176,9,319,1096,258,427,230,273,276,64,7,6,42,110,11,8,137,136,21,29,12,340,13,14
X12_3_N_N_1,841,1145,335,79,352,311,244,18,444,778,228,508,207,314,242,52,9,11,37,106,13,9,224,128,13,18,31,417,22,41
X12_6_N_N_1,600,1169,514,39,267,282,185,11,339,1027,259,394,172,248,143,30,2,8,25,56,9,9,187,130,13,17,27,367,20,34
X12_8_N_N_0,726,1348,359,56,348,259,218,17,338,906,228,422,168,236,218,41,7,7,31,91,9,14,212,126,17,36,27,434,25,34
X13_11_N_N_0,955,1242,536,70,324,248,208,23,448,969,331,534,260,461,228,49,14,23,39,98,27,7,187,135,14,24,29,391,16,38
X13_13_N_N_0,972,1191,486,98,387,321,194,17,504,846,247,528,233,471,232,51,9,40,28,97,43,7,243,130,24,34,33,464,23,42
X13_19_N_N_1,968,1174,388,84,394,270,214,19,538,800,280,550,236,432,244,56,10,40,42,102,42,5,263,123,24,27,41,475,15,44
X13_23_N_N_1,902,1364,602,57,365,221,222,12,476,1042,316,504,281,399,187,32,6,22,32,74,27,7,164,134,11,35,31,368,16,40
X13_24_N_N_0,928,1157,427,43,379,250,243,20,529,917,288,529,203,378,244,46,8,55,38,114,58,6,229,100,25,42,36,425,17,39
X13_3_N_N_1,948,1322,523,61,397,274,227,12,502,885,292,541,202,404,275,73,12,23,52,123,26,6,208,115,18,21,27,396,19,31
X13_6_N_N_1,684,1003,387,44,330,304,171,12,482,768,217,420,149,284,262,60,8,17,43,99,21,8,237,101,12,22,31,398,19,36
X13_8_N_N_0,838,1240,406,90,363,283,181,19,399,730,206,504,217,349,245,49,9,28,37,113,33,13,224,118,14,47,28,442,28,32
X14_11_N_N_0,772,1073,169,92,337,205,156,14,393,567,183,495,199,297,212,48,11,28,28,98,32,3,177,72,35,24,21,332,12,29
X14_13_N_N_0,848,1186,420,84,288,261,176,21,391,811,243,487,230,314,207,18,5,15,29,80,17,5,177,114,24,35,13,365,18,18
X14_19_N_N_1,727,1223,255,73,295,221,166,15,415,922,190,450,199,257,279,43,7,18,39,110,25,10,245,114,26,32,23,453,18,27
X14_23_N_N_1,924,1217,297,96,309,258,189,18,463,829,259,473,282,371,258,43,11,6,25,126,10,5,242,106,18,38,32,438,18,35
X14_24_N_N_0,670,938,186,70,305,232,116,13,377,566,169,374,133,281,138,24,7,40,23,51,42,1,103,50,24,23,15,222,5,22
X14_3_N_N_1,907,1102,251,127,393,330,188,17,438,683,209,528,244,364,252,44,11,16,36,113,19,5,222,71,26,33,18,375,18,24
X14_6_N_N_1,896,1116,375,90,357,223,260,19,443,771,259,469,185,323,177,35,7,10,30,70,12,3,204,99,18,24,25,367,13,29
X14_8_N_N_0,775,1214,279,85,348,290,190,18,415,829,228,428,201,322,151,21,5,12,29,63,14,10,190,99,23,39,24,383,24,31
