"","richness","shannon","invsimpson","PD"
"X09_11S_N_C_0",7290,7.78006372138782,347.481295086163,641.84361
"X09_13S_N_C_0",7826,8.02843560791288,690.210769201801,644.44515
"X09_19S_N_C_1",7552,7.96753594368953,595.639029837848,628.95996
"X09_23S_N_C_1",7062,7.74073912685584,450.209797752207,590.01691
"X09_24S_N_C_0",6980,7.74283048146658,346.260568411724,581.72979
"X09_3S_N_C_1",7208,7.65772075925284,303.489782646983,606.88646
"X09_6S_N_C_1",7499,7.92539348069359,617.081400473803,623.94909
"X09_8S_N_C_0",7615,7.93040684497074,576.143436029183,624.0851
"X10_11N_N_N_0",6815,7.53947125272742,277.888911478316,602.74408
"X10_13N_N_N_0",6828,7.66355550529761,422.90964602234,595.40922
"X10_19N_N_N_1",7454,7.93927657856227,513.43251908708,620.1301
"X10_23N_N_N_1",6276,7.41681714374386,270.81443965054,549.91504
"X10_24N_N_N_0",6961,7.91444385985379,908.20536603165,628.90374
"X10_3N_N_N_1",6600,7.42196604067592,213.118846560617,592.8122
"X10_6N_N_N_1",6767,7.67185860696795,417.721911837984,590.70182
"X10_8N_N_N_0",6815,7.54607657245478,278.337966510249,578.1081
"X11_11N_N_N_0",6035,7.52769337847411,490.321453369246,530.70008
"X11_13N_N_N_0",5444,7.47087739254935,532.756568568643,485.53657
"X11_19N_N_N_1",6149,7.56137342339443,457.824236038413,528.4601
"X11_23N_N_N_1",5743,7.39967226658868,364.616182167388,514.3791
"X11_24N_N_N_0",5259,7.19075171565114,216.754271135819,477.66754
"X11_3N_N_N_1",6531,7.63448676035253,395.559241692213,551.70537
"X11_6N_N_N_1",5793,7.38285526731106,288.957335381908,517.47293
"X11_8N_N_N_0",5954,7.42656819188627,323.464076856803,536.65277
"X12_11N_N_N_0",6308,7.55511523346081,336.852202069617,569.81086
"X12_13N_N_N_0",6066,7.68547930600356,618.142799326705,542.29856
"X12_19N_N_N_1",5038,6.89187874050457,139.325554540466,465.36303
"X12_23N_N_N_1",5184,7.17696537540693,187.458746804389,465.20261
"X12_24N_N_N_0",5785,7.6531168709716,623.07725898867,532.29642
"X12_3N_N_N_1",6086,7.42221715768747,303.503488734436,540.75865
"X12_6N_N_N_1",5717,7.12171997254923,77.2571315035381,529.17561
"X12_8N_N_N_0",5832,7.37444348675394,259.309192985164,502.82639
"X13_11N_N_N_0",6947,7.73289652240175,429.731627152531,601.01478
"X13_13N_N_N_0",6817,7.67860041782973,382.148477749093,592.81309
"X13_19N_N_N_1",6676,7.51533413820822,190.557638242037,574.51031
"X13_23N_N_N_1",7054,7.83654366159783,641.336808101501,590.11314
"X13_24N_N_N_0",6560,7.5151965883445,220.855031146326,557.22965
"X13_3N_N_N_1",6892,7.82822698352816,627.489039804046,573.50553
"X13_6N_N_N_1",5500,7.02478556610717,96.4748283854149,498.36581
"X13_8N_N_N_0",6127,7.27480030303713,148.957340880268,552.85883
"X14_11N_N_N_0",5262,7.26864448813297,204.231896228613,505.7094
"X14_13N_N_N_0",6033,7.39226483240485,322.177515029291,535.34781
"X14_19N_N_N_1",5628,7.45659777106693,454.02598563685,508.64784
"X14_23N_N_N_1",6263,7.56323859013826,296.358209723106,539.13702
"X14_24N_N_N_0",4652,7.04176327274234,207.149962394582,450.50759
"X14_3N_N_N_1",6111,7.55714302424872,384.814081170867,542.81303
"X14_6N_N_N_1",6081,7.45019104422644,334.901322750883,542.28693
"X14_8N_N_N_0",5910,7.54816318576985,405.26126088097,545.85206
